, 14 days,SMA12,EMA12,TBR24,VOL29,MOM10,,SMA26,EMA26,TBR12,VOL87,,Change,Gain,Loss,AV GAIN,AV LOSS,RS(INPUT 10),RSI,,,,SMA_12>SMA26,EMA_12>EMA26,TBR12>TBR24,VOL29>VOL87,MOM>0,RSI>70%,14 day increase
369.68,0,372.8108333,382.0197715,-0.00741059,0.028504654,-3.86,,384.4115385,369.9061059,-0.00741059,0.026793312,,-1.1,0,1.1,1.048,0.662,1.583081571,61.28654971,,,,0,1,0,1,0,1,0
368.58,0,371.7533333,380.4403195,-0.010364085,0.028041536,-7.73,,383.7538462,368.4779919,-0.010364085,0.026695247,,0,0,0,1.435,0.662,2.167673716,68.43109204,,,,0,1,1,1,0,1,0
368.58,0,370.5575,378.9198857,-0.010364085,0.027376705,-9.38,,383.0534615,368.5878468,-0.010364085,0.026751916,,-0.55,0,0.55,1.6,0.662,2.416918429,70.73386384,,,,0,1,1,1,0,0,0
368.03,0,369.7758333,377.5131084,-0.011840833,0.026642913,-9.93,,382.3319231,367.9870887,-0.011840833,0.027003201,,0,0,0,1.655,0.662,2.5,71.42857143,,,,0,1,1,0,0,0,0
368.03,0,369.5,376.2803225,-0.011840833,0.025967931,-12.14,,381.6103846,368.0333009,-0.011840833,0.02745093,,4.41,4.41,0,1.876,0.662,2.833836858,73.91646966,,,,0,1,1,0,0,0,0
372.44,0,369.9133333,375.3007857,0,0.025449538,-14.9,,380.7188462,372.7789769,0,0.028178745,,-0.55,0,0.55,1.876,0.386,4.860103627,82.93545535,,,,0,1,0,0,0,0,0
371.89,0,369.7291667,374.4436136,0,0.024220351,-10.48,,379.8276923,371.8216172,0,0.02894203,,-0.55,0,0.55,1.821,0.773,2.355756792,70.20046261,,,,0,1,0,0,0,0,0
371.34,0,369.7291667,373.718314,0,0.023326503,-14.35,,378.6392308,371.3029525,0,0.03011203,,-5.52,0,5.52,2.208,0.773,2.856403622,74.06910433,,,,0,1,0,0,0,0,0
365.82,0,369.0391667,372.9984452,0,0.02365872,-14.9,,377.2384615,365.3982344,0,0.031149086,,-2.21,0,2.21,2.263,0.773,2.927554981,74.53886693,,,,0,1,0,0,0,0,0
363.61,0,368.6708333,372.3326588,-0.006041222,0.023801257,-16,,375.6892308,363.4724435,-0.006041222,0.031978609,,2.21,2.21,0,2.373,0.773,3.069857697,75.42911634,,,,0,1,1,0,0,0,0
365.82,0,368.395,371.7268651,0,0.024040434,-18.21,,374.225,366.0005813,0,0.032623557,,-4.97,0,4.97,2.373,0.552,4.298913043,81.12820513,,,,0,1,0,0,0,0,0
360.85,0,367.8891667,371.13645,-0.00759055,0.024179083,-19.31,,372.7392308,360.4538014,-0.001549487,0.032966241,,-1.65,0,1.65,2.483,0.552,4.498188406,81.8121911,,,,0,1,0,0,0,0,0
359.2,0,367.0158333,370.5025089,-0.01957038,0.024681447,-14.35,,371.2961538,359.1035537,-0.006114939,0.03343432,,-1.1,0,1.1,2.318,0.883,2.625141563,72.41487035,,,,0,1,0,0,0,0,0
358.1,0,366.1425,369.8317383,-0.039920641,0.025298725,-10.49,,370.1715385,358.0228036,-0.009158573,0.034021111,,-2.21,0,2.21,2.208,1.159,1.905090595,65.57766558,,,,0,1,0,0,0,1,0
355.89,0,365.085,369.1014709,-0.045845733,0.02590391,-9.38,,368.9196154,355.7259382,-0.015273512,0.034761982,,1.65,1.65,0,2.097,1.159,1.809318378,64.4041769,,,,0,1,0,0,0,1,0
